Sales Person,Country,Product,Date,Amount,Boxes Shipped,Sales_Category
Dennison Crosswaite,India,Organic Choco Syrup,27/01/2022,8428.0,216,High
Camilla Castle,UK,Mint Chip Choco,26/05/2022,4977.0,317,Low
Brien Boise,USA,70% Dark Bites,14/04/2022,1694.0,21,Low
Madelene Upcott,Australia,99% Dark & Pure,01/08/2022,4326.0,154,Low
Mallorie Waber,Australia,Eclairs,22/08/2022,9527.0,222,High
Marney O'Breen,India,99% Dark & Pure,22/07/2022,10766.0,157,High
Husein Augar,USA,Fruit & Nut Bars,28/04/2022,1288.0,27,Low
Kelci Walkden,Australia,Almond Choco,30/05/2022,4879.0,350,Low
Ches Bonnell,USA,Milk Bars,21/07/2022,2408.0,157,Low
Jan Morforth,UK,Caramel Stuffed Bars,02/08/2022,3094.0,468,Low
Brien Boise,New Zealand,70% Dark Bites,15/06/2022,7231.0,130,High
Oby Sorrel,India,85% Dark Bars,05/07/2022,8981.0,130,High
Kaine Padly,New Zealand,Smooth Sliky Salty,12/04/2022,7.0,518,Low
Gigi Bohling,Australia,70% Dark Bites,18/08/2022,1372.0,105,Low
Jan Morforth,UK,50% Dark Bites,12/01/2022,5250.0,293,High
Gunar Cockshoot,Canada,White Choc,11/08/2022,7560.0,15,High
Jehu Rudeforth,Australia,Spicy Special Slims,13/01/2022,5012.0,384,High
Husein Augar,UK,Baker's Choco Chips,29/04/2022,3038.0,135,Low
Rafaelita Blaksland,New Zealand,After Nines,07/07/2022,1099.0,92,Low
Madelene Upcott,New Zealand,Mint Chip Choco,11/03/2022,7413.0,4,High
Madelene Upcott,UK,70% Dark Bites,16/02/2022,5397.0,239,High
Barr Faughny,Australia,Organic Choco Syrup,07/01/2022,2303.0,33,Low
Beverie Moffet,New Zealand,Drinking Coco,12/01/2022,1141.0,518,Low
Beverie Moffet,India,Eclairs,09/06/2022,10325.0,147,High
Andria Kimpton,India,Eclairs,16/05/2022,2149.0,84,Low
Gigi Bohling,UK,85% Dark Bars,23/06/2022,12362.0,94,High
Roddy Speechley,UK,Raspberry Choco,28/01/2022,12635.0,194,High
Dotty Strutley,UK,Mint Chip Choco,14/07/2022,2443.0,216,Low
Barr Faughny,Canada,Drinking Coco,18/04/2022,6237.0,247,High
Oby Sorrel,USA,Milk Bars,14/06/2022,1736.0,79,Low
Oby Sorrel,UK,Orange Choco,15/04/2022,7315.0,237,High
Curtice Advani,Canada,Peanut Butter Cubes,19/05/2022,4935.0,63,Low
Gigi Bohling,India,White Choc,13/04/2022,1393.0,172,Low
Husein Augar,Canada,Choco Coated Almonds,15/08/2022,3381.0,408,Low
Wilone O'Kielt,India,Choco Coated Almonds,22/08/2022,2933.0,233,Low
Wilone O'Kielt,New Zealand,Baker's Choco Chips,22/04/2022,3836.0,59,Low
Kaine Padly,UK,Choco Coated Almonds,03/08/2022,8022.0,123,High
Dennison Crosswaite,New Zealand,Organic Choco Syrup,04/01/2022,371.0,229,Low
Kelci Walkden,Canada,After Nines,13/01/2022,16702.0,198,High
Van Tuxwell,Australia,Baker's Choco Chips,11/05/2022,13258.0,32,High
Husein Augar,New Zealand,Peanut Butter Cubes,16/02/2022,2058.0,236,Low
Kaine Padly,UK,Caramel Stuffed Bars,20/05/2022,10192.0,67,High
Jehu Rudeforth,UK,Drinking Coco,03/02/2022,7140.0,438,High
Beverie Moffet,India,Manuka Honey Choco,06/05/2022,9835.0,167,High
Gunar Cockshoot,UK,Choco Coated Almonds,30/06/2022,5775.0,135,High
Gunar Cockshoot,UK,Smooth Sliky Salty,22/03/2022,749.0,148,Low
Camilla Castle,Canada,Orange Choco,17/02/2022,7770.0,54,High
Jehu Rudeforth,UK,85% Dark Bars,07/07/2022,5502.0,64,High
Oby Sorrel,UK,70% Dark Bites,16/03/2022,6223.0,181,High
Kelci Walkden,UK,99% Dark & Pure,12/08/2022,3507.0,114,Low
Gigi Bohling,New Zealand,After Nines,21/01/2022,5600.0,181,High
Oby Sorrel,Australia,50% Dark Bites,06/05/2022,721.0,151,Low
Oby Sorrel,Canada,50% Dark Bites,24/06/2022,6615.0,137,High
Barr Faughny,USA,White Choc,05/05/2022,7420.0,163,High
Rafaelita Blaksland,New Zealand,99% Dark & Pure,25/03/2022,3164.0,84,Low
Curtice Advani,Australia,Caramel Stuffed Bars,14/02/2022,9114.0,140,High
Curtice Advani,New Zealand,85% Dark Bars,12/05/2022,5404.0,187,High
Barr Faughny,New Zealand,Smooth Sliky Salty,25/01/2022,3990.0,169,Low
Ches Bonnell,UK,85% Dark Bars,28/06/2022,14924.0,12,High
Dennison Crosswaite,Australia,Drinking Coco,13/07/2022,7091.0,194,High
Roddy Speechley,USA,Milk Bars,16/05/2022,2807.0,252,Low
Jan Morforth,India,After Nines,14/03/2022,6496.0,168,High
Gunar Cockshoot,USA,After Nines,15/08/2022,3738.0,261,Low
Ches Bonnell,India,Orange Choco,16/02/2022,1190.0,256,Low
Mallorie Waber,UK,Manuka Honey Choco,15/06/2022,8379.0,43,High
Barr Faughny,Australia,Raspberry Choco,27/05/2022,9268.0,100,High
Wilone O'Kielt,USA,Drinking Coco,14/06/2022,1029.0,98,Low
Wilone O'Kielt,India,Eclairs,25/02/2022,3549.0,76,Low
Wilone O'Kielt,India,After Nines,04/08/2022,12026.0,262,High
Kelci Walkden,India,99% Dark & Pure,28/06/2022,2303.0,244,Low
Gunar Cockshoot,Canada,Spicy Special Slims,05/04/2022,13405.0,12,High
Madelene Upcott,Canada,Peanut Butter Cubes,05/07/2022,14763.0,113,High
Kaine Padly,New Zealand,Eclairs,20/01/2022,12894.0,48,High
Ches Bonnell,New Zealand,Drinking Coco,16/02/2022,8302.0,131,High
Curtice Advani,UK,Drinking Coco,12/07/2022,455.0,174,Low
Kelci Walkden,India,Raspberry Choco,16/06/2022,8183.0,254,High
Dotty Strutley,Australia,Choco Coated Almonds,13/04/2022,1645.0,284,Low
Kaine Padly,UK,50% Dark Bites,21/02/2022,3143.0,67,Low
Roddy Speechley,Canada,Choco Coated Almonds,11/05/2022,5873.0,249,High
Ches Bonnell,India,50% Dark Bites,15/04/2022,11298.0,313,High
Oby Sorrel,Canada,Peanut Butter Cubes,07/06/2022,12425.0,167,High
Oby Sorrel,UK,White Choc,27/06/2022,1715.0,286,Low
Barr Faughny,India,After Nines,29/07/2022,8190.0,109,High
Wilone O'Kielt,Canada,Smooth Sliky Salty,02/06/2022,4991.0,166,Low
Rafaelita Blaksland,India,Mint Chip Choco,26/01/2022,15491.0,85,High
Rafaelita Blaksland,Canada,99% Dark & Pure,02/03/2022,5096.0,142,High
Van Tuxwell,Australia,70% Dark Bites,10/01/2022,7063.0,104,High
Beverie Moffet,USA,70% Dark Bites,27/06/2022,2275.0,115,Low
Barr Faughny,Canada,Orange Choco,30/06/2022,7602.0,18,High
Roddy Speechley,Australia,85% Dark Bars,08/07/2022,4200.0,80,Low
Oby Sorrel,India,Spicy Special Slims,08/06/2022,11137.0,88,High
Jan Morforth,UK,Manuka Honey Choco,18/08/2022,3388.0,212,Low
Kaine Padly,Australia,After Nines,08/04/2022,6832.0,306,High
Wilone O'Kielt,Canada,Fruit & Nut Bars,08/08/2022,3437.0,181,Low
Wilone O'Kielt,UK,Milk Bars,26/08/2022,301.0,65,Low
Oby Sorrel,Canada,Fruit & Nut Bars,14/01/2022,1869.0,158,Low
Dennison Crosswaite,USA,Baker's Choco Chips,11/08/2022,17465.0,271,High
Madelene Upcott,USA,Almond Choco,31/05/2022,10143.0,24,High
Van Tuxwell,New Zealand,50% Dark Bites,11/07/2022,3626.0,10,Low
Karlen McCaffrey,Canada,Caramel Stuffed Bars,02/03/2022,3346.0,304,Low
Madelene Upcott,Australia,Raspberry Choco,13/07/2022,6321.0,88,High
Rafaelita Blaksland,UK,Spicy Special Slims,03/08/2022,9345.0,133,High
Curtice Advani,UK,Peanut Butter Cubes,01/03/2022,15008.0,165,High
Kelci Walkden,New Zealand,White Choc,13/04/2022,7609.0,150,High
Beverie Moffet,Canada,Fruit & Nut Bars,14/02/2022,10332.0,180,High
Mallorie Waber,India,White Choc,26/07/2022,819.0,213,Low
Brien Boise,UK,Drinking Coco,27/01/2022,5754.0,133,High
Jehu Rudeforth,India,Peanut Butter Cubes,14/04/2022,28.0,446,Low
Oby Sorrel,USA,Almond Choco,19/05/2022,6440.0,141,High
Husein Augar,India,Eclairs,09/02/2022,4956.0,58,Low
Brien Boise,UK,Spicy Special Slims,25/05/2022,2352.0,58,Low
Oby Sorrel,Australia,Manuka Honey Choco,26/01/2022,3906.0,76,Low
Beverie Moffet,India,White Choc,04/07/2022,1813.0,296,Low
Ches Bonnell,India,Almond Choco,13/04/2022,11788.0,73,High
Gigi Bohling,Australia,Smooth Sliky Salty,25/01/2022,5768.0,119,High
Camilla Castle,USA,85% Dark Bars,25/04/2022,2401.0,78,Low
Camilla Castle,USA,Eclairs,10/06/2022,4515.0,392,Low
Madelene Upcott,New Zealand,White Choc,22/08/2022,10794.0,51,High
Van Tuxwell,India,After Nines,27/06/2022,13706.0,207,High
Husein Augar,India,Orange Choco,30/06/2022,4361.0,40,Low
Jehu Rudeforth,India,Almond Choco,30/08/2022,10122.0,100,High
Karlen McCaffrey,Australia,Raspberry Choco,23/08/2022,994.0,57,Low
Camilla Castle,New Zealand,99% Dark & Pure,26/08/2022,2268.0,42,Low
Gigi Bohling,Australia,Orange Choco,09/03/2022,574.0,156,Low
Kelci Walkden,UK,Drinking Coco,20/04/2022,1792.0,23,Low
Mallorie Waber,Canada,Caramel Stuffed Bars,10/06/2022,4844.0,539,Low
Husein Augar,Australia,Organic Choco Syrup,08/02/2022,938.0,158,Low
Brien Boise,Australia,White Choc,25/08/2022,4879.0,22,Low
Dotty Strutley,India,Peanut Butter Cubes,16/02/2022,9107.0,73,High
Dennison Crosswaite,UK,99% Dark & Pure,30/05/2022,12187.0,27,High
Gigi Bohling,New Zealand,50% Dark Bites,29/06/2022,5670.0,64,High
Gigi Bohling,USA,Milk Bars,16/06/2022,476.0,133,Low
Brien Boise,UK,Caramel Stuffed Bars,04/03/2022,2681.0,149,Low
Curtice Advani,New Zealand,Peanut Butter Cubes,15/03/2022,1533.0,434,Low
Curtice Advani,New Zealand,50% Dark Bites,27/01/2022,9765.0,85,High
Beverie Moffet,Canada,Drinking Coco,05/07/2022,994.0,118,Low
Barr Faughny,USA,Caramel Stuffed Bars,29/03/2022,3318.0,299,Low
Mallorie Waber,Canada,Almond Choco,12/05/2022,4214.0,35,Low
Oby Sorrel,USA,Drinking Coco,11/03/2022,7714.0,44,High
Brien Boise,New Zealand,Eclairs,11/07/2022,4690.0,299,Low
Gunar Cockshoot,New Zealand,Choco Coated Almonds,01/08/2022,13062.0,62,High
Gunar Cockshoot,UK,Spicy Special Slims,16/02/2022,12488.0,200,High
Curtice Advani,USA,After Nines,13/04/2022,14147.0,235,High
Oby Sorrel,India,Choco Coated Almonds,14/02/2022,49.0,363,Low
Ches Bonnell,Australia,Peanut Butter Cubes,14/03/2022,10199.0,68,High
Oby Sorrel,Australia,Spicy Special Slims,26/04/2022,11389.0,26,High
Jehu Rudeforth,Canada,Manuka Honey Choco,05/04/2022,3584.0,200,Low
Camilla Castle,Canada,Drinking Coco,03/03/2022,12481.0,264,High
Kaine Padly,USA,Spicy Special Slims,13/06/2022,2107.0,175,Low
Marney O'Breen,New Zealand,70% Dark Bites,14/02/2022,8603.0,352,High
Roddy Speechley,New Zealand,99% Dark & Pure,18/04/2022,7483.0,183,High
Oby Sorrel,New Zealand,85% Dark Bars,01/02/2022,3381.0,417,Low
Dotty Strutley,New Zealand,Orange Choco,04/08/2022,2030.0,146,Low
Andria Kimpton,New Zealand,Almond Choco,05/04/2022,6559.0,158,High
Karlen McCaffrey,Australia,99% Dark & Pure,26/01/2022,10822.0,168,High
Kaine Padly,UK,After Nines,21/01/2022,18697.0,176,High
Kaine Padly,Canada,After Nines,22/08/2022,5845.0,172,High
Kaine Padly,UK,Drinking Coco,27/01/2022,2317.0,224,Low
Rafaelita Blaksland,UK,50% Dark Bites,16/02/2022,10150.0,68,High
Dotty Strutley,USA,Raspberry Choco,03/01/2022,3437.0,46,Low
Karlen McCaffrey,USA,White Choc,24/08/2022,4592.0,2,Low
Oby Sorrel,USA,Spicy Special Slims,07/02/2022,5691.0,417,High
Mallorie Waber,Australia,Smooth Sliky Salty,11/02/2022,4158.0,109,Low
Kaine Padly,Canada,Organic Choco Syrup,29/03/2022,5684.0,81,High
Marney O'Breen,USA,Peanut Butter Cubes,15/06/2022,693.0,350,Low
Dennison Crosswaite,UK,Smooth Sliky Salty,26/04/2022,546.0,142,Low
Brien Boise,Australia,Organic Choco Syrup,15/07/2022,4263.0,264,Low
Beverie Moffet,India,Organic Choco Syrup,23/06/2022,1036.0,20,Low
Dennison Crosswaite,Australia,Baker's Choco Chips,11/01/2022,13846.0,421,High
Beverie Moffet,UK,50% Dark Bites,09/02/2022,2499.0,271,Low
Van Tuxwell,UK,Almond Choco,06/06/2022,10689.0,204,High
Dotty Strutley,UK,Caramel Stuffed Bars,10/08/2022,5768.0,235,High
Wilone O'Kielt,Australia,Smooth Sliky Salty,04/01/2022,2226.0,46,Low
Andria Kimpton,Canada,70% Dark Bites,08/04/2022,10262.0,15,High
Barr Faughny,UK,Milk Bars,02/03/2022,3864.0,430,Low
Van Tuxwell,Canada,Drinking Coco,15/06/2022,4900.0,709,Low
Jehu Rudeforth,Australia,After Nines,14/02/2022,5250.0,47,High
Husein Augar,UK,After Nines,05/07/2022,3507.0,380,Low
Barr Faughny,India,Mint Chip Choco,12/01/2022,7413.0,465,High
Curtice Advani,India,Mint Chip Choco,03/03/2022,8155.0,96,High
Jehu Rudeforth,New Zealand,Milk Bars,18/05/2022,2478.0,188,Low
Gunar Cockshoot,India,Caramel Stuffed Bars,28/07/2022,2471.0,202,Low
Curtice Advani,UK,Manuka Honey Choco,07/02/2022,1666.0,106,Low
Andria Kimpton,India,Orange Choco,30/05/2022,301.0,421,Low
Mallorie Waber,Australia,Raspberry Choco,25/04/2022,8400.0,27,High
Beverie Moffet,Canada,85% Dark Bars,16/02/2022,6139.0,45,High
Kelci Walkden,Australia,Drinking Coco,04/05/2022,1288.0,60,Low
Van Tuxwell,Canada,70% Dark Bites,02/06/2022,7077.0,77,High
Dennison Crosswaite,USA,Caramel Stuffed Bars,11/07/2022,2317.0,464,Low
Beverie Moffet,New Zealand,Spicy Special Slims,07/06/2022,63.0,60,Low
Jan Morforth,UK,Almond Choco,06/07/2022,9744.0,157,High
Husein Augar,India,Raspberry Choco,15/06/2022,9954.0,154,High
Dotty Strutley,India,Mint Chip Choco,14/04/2022,1260.0,239,Low
Camilla Castle,India,Drinking Coco,08/08/2022,469.0,163,Low
Marney O'Breen,UK,Drinking Coco,29/03/2022,973.0,28,Low
Roddy Speechley,Australia,Organic Choco Syrup,04/07/2022,3647.0,76,Low
Ches Bonnell,India,99% Dark & Pure,16/02/2022,455.0,96,Low
Rafaelita Blaksland,Canada,Spicy Special Slims,02/05/2022,2520.0,156,Low
Van Tuxwell,India,Eclairs,21/07/2022,10500.0,106,High
Gunar Cockshoot,Australia,99% Dark & Pure,18/08/2022,7952.0,235,High
Kaine Padly,USA,85% Dark Bars,22/06/2022,483.0,259,Low
Camilla Castle,UK,Peanut Butter Cubes,19/07/2022,4872.0,126,Low
Madelene Upcott,UK,Peanut Butter Cubes,12/08/2022,7756.0,85,High
Madelene Upcott,USA,Choco Coated Almonds,07/06/2022,5446.0,132,High
Marney O'Breen,Canada,Peanut Butter Cubes,08/03/2022,6594.0,91,High
Ches Bonnell,Australia,Choco Coated Almonds,08/04/2022,1470.0,167,Low
Curtice Advani,Canada,Eclairs,06/05/2022,721.0,203,Low
Roddy Speechley,India,Drinking Coco,31/05/2022,4494.0,11,Low
Van Tuxwell,Australia,Mint Chip Choco,13/01/2022,2674.0,295,Low
Dennison Crosswaite,USA,70% Dark Bites,15/03/2022,658.0,77,Low
Andria Kimpton,Canada,Peanut Butter Cubes,16/02/2022,1127.0,319,Low
Gigi Bohling,USA,70% Dark Bites,14/01/2022,7364.0,196,High
Rafaelita Blaksland,Australia,White Choc,21/03/2022,6818.0,102,High
Roddy Speechley,Canada,Drinking Coco,17/05/2022,6776.0,312,High
Camilla Castle,New Zealand,85% Dark Bars,08/08/2022,15099.0,55,High
Madelene Upcott,Canada,Milk Bars,26/04/2022,3612.0,82,Low
Madelene Upcott,Australia,70% Dark Bites,15/04/2022,3710.0,260,Low
Oby Sorrel,Canada,Eclairs,19/05/2022,6111.0,591,High
Dennison Crosswaite,Canada,Drinking Coco,10/01/2022,2702.0,24,Low
Mallorie Waber,New Zealand,After Nines,04/05/2022,483.0,228,Low
Roddy Speechley,Canada,White Choc,05/04/2022,5887.0,268,High
Andria Kimpton,India,After Nines,17/01/2022,952.0,68,Low
Roddy Speechley,India,Spicy Special Slims,22/03/2022,10647.0,173,High
Dotty Strutley,Australia,White Choc,05/07/2022,6055.0,93,High
Oby Sorrel,Canada,Orange Choco,27/04/2022,8757.0,338,High
Kaine Padly,Canada,Almond Choco,12/08/2022,6055.0,73,High
Jan Morforth,UK,Baker's Choco Chips,11/03/2022,721.0,251,Low
Jehu Rudeforth,UK,Fruit & Nut Bars,13/05/2022,8589.0,229,High
Dennison Crosswaite,USA,Smooth Sliky Salty,12/05/2022,11781.0,91,High
Brien Boise,USA,Raspberry Choco,12/01/2022,672.0,194,Low
Madelene Upcott,New Zealand,Milk Bars,29/03/2022,12558.0,403,High
Roddy Speechley,India,50% Dark Bites,14/03/2022,8337.0,12,High
Barr Faughny,New Zealand,99% Dark & Pure,24/05/2022,8134.0,195,High
Dennison Crosswaite,Canada,Organic Choco Syrup,28/01/2022,8491.0,75,High
Beverie Moffet,India,Almond Choco,24/05/2022,3066.0,96,Low
Brien Boise,Australia,Peanut Butter Cubes,19/08/2022,301.0,205,Low
Karlen McCaffrey,Australia,Spicy Special Slims,17/05/2022,4410.0,323,Low
Jehu Rudeforth,USA,White Choc,07/06/2022,6559.0,119,High
Ches Bonnell,Canada,Organic Choco Syrup,26/07/2022,574.0,217,Low
Dotty Strutley,India,Eclairs,28/07/2022,2086.0,384,Low
Karlen McCaffrey,India,70% Dark Bites,23/05/2022,5075.0,344,High
Jehu Rudeforth,UK,Mint Chip Choco,04/01/2023,5902.13,178,High
Van Tuxwell,India,85% Dark Bars,01/08/2023,8074.39,100,High
Gigi Bohling,India,Peanut Butter Cubes,07/07/2023,4666.18,100,Low
Jan Morforth,Australia,Peanut Butter Cubes,27/04/2023,14103.4,350,High
Jehu Rudeforth,UK,Peanut Butter Cubes,24/02/2023,14167.84,178,High
Van Tuxwell,India,Smooth Sliky Salty,06/06/2023,5768.75,37,High
Oby Sorrel,UK,99% Dark & Pure,25/01/2023,14673.2,175,High
Gunar Cockshoot,Australia,After Nines,24/03/2023,3249.23,78,Low
Jehu Rudeforth,New Zealand,50% Dark Bites,20/04/2023,4526.24,64,Low
Brien Boise,Australia,99% Dark & Pure,04/07/2023,3166.56,98,Low
Rafaelita Blaksland,UK,Smooth Sliky Salty,13/01/2023,4866.39,65,Low
Barr Faughny,USA,Orange Choco,10/03/2023,4254.37,12,Low
Mallorie Waber,Canada,Eclairs,13/01/2023,1652.61,277,Low
Karlen McCaffrey,New Zealand,Drinking Coco,28/07/2023,171.49,163,Low
Marney O'Breen,New Zealand,Peanut Butter Cubes,03/08/2023,8549.84,169,High
Beverie Moffet,Australia,Organic Choco Syrup,26/01/2023,7807.74,355,High
Van Tuxwell,Canada,Organic Choco Syrup,14/02/2023,4561.43,44,Low
Roddy Speechley,USA,Smooth Sliky Salty,05/04/2023,3041.12,148,Low
Beverie Moffet,Canada,Milk Bars,16/02/2023,9786.09,248,High
Curtice Advani,UK,85% Dark Bars,08/06/2023,1131.25,175,Low
Brien Boise,Australia,Eclairs,27/06/2023,7484.07,94,High
Gunar Cockshoot,USA,Spicy Special Slims,17/02/2023,1339.61,166,Low
Marney O'Breen,USA,After Nines,30/05/2023,5481.18,159,High
Husein Augar,UK,Drinking Coco,14/03/2023,3275.4,120,Low
Kaine Padly,Australia,Eclairs,28/02/2023,7677.78,118,High
Karlen McCaffrey,India,Fruit & Nut Bars,26/01/2023,189.37,315,Low
Roddy Speechley,Canada,Spicy Special Slims,09/02/2023,1658.79,193,Low
Husein Augar,USA,Eclairs,07/07/2023,4168.93,122,Low
Dennison Crosswaite,New Zealand,White Choc,05/07/2023,10604.89,165,High
Dennison Crosswaite,New Zealand,Manuka Honey Choco,15/06/2023,5773.51,325,High
Van Tuxwell,New Zealand,85% Dark Bars,24/05/2023,1838.78,121,Low
Rafaelita Blaksland,UK,99% Dark & Pure,29/06/2023,12643.1,150,High
Wilone O'Kielt,Australia,Manuka Honey Choco,11/05/2023,4439.52,95,Low
Karlen McCaffrey,UK,Almond Choco,30/06/2023,7698.6,126,High
Andria Kimpton,Canada,After Nines,11/05/2023,2222.3,77,Low
Roddy Speechley,USA,Manuka Honey Choco,22/07/2023,10959.02,302,High
Andria Kimpton,UK,50% Dark Bites,24/08/2023,2854.85,337,Low
Kelci Walkden,New Zealand,After Nines,07/07/2023,147.82,74,Low
Camilla Castle,Australia,85% Dark Bars,19/05/2023,3790.51,14,Low
Karlen McCaffrey,India,Manuka Honey Choco,04/07/2023,2487.19,583,Low
Kelci Walkden,USA,After Nines,02/06/2023,1021.27,17,Low
Karlen McCaffrey,USA,Raspberry Choco,15/04/2023,15370.06,353,High
Mallorie Waber,Canada,Choco Coated Almonds,11/07/2023,5345.58,250,High
Andria Kimpton,India,Spicy Special Slims,23/02/2023,6559.44,154,High
Madelene Upcott,Canada,Almond Choco,22/08/2023,8282.93,107,High
Kaine Padly,USA,Peanut Butter Cubes,16/02/2023,6981.4,189,High
Van Tuxwell,USA,50% Dark Bites,13/01/2023,10280.17,155,High
Curtice Advani,Australia,Milk Bars,14/02/2023,7703.62,20,High
Roddy Speechley,India,Eclairs,10/06/2023,4489.81,310,Low
Curtice Advani,India,Fruit & Nut Bars,07/07/2023,5806.11,190,High
Curtice Advani,Canada,Almond Choco,24/03/2023,5148.7,76,High
Brien Boise,Australia,Fruit & Nut Bars,06/06/2023,8558.59,24,High
Dotty Strutley,Australia,Drinking Coco,19/07/2023,94.19,145,Low
Beverie Moffet,USA,Raspberry Choco,19/04/2023,16223.83,87,High
Marney O'Breen,India,85% Dark Bars,19/07/2023,2439.06,175,Low
Jehu Rudeforth,Canada,Drinking Coco,15/07/2023,466.65,23,Low
Ches Bonnell,New Zealand,Spicy Special Slims,14/02/2023,4044.24,18,Low
Brien Boise,Canada,99% Dark & Pure,18/05/2023,17675.28,446,High
Barr Faughny,Australia,Fruit & Nut Bars,30/06/2023,17280.98,58,High
Andria Kimpton,Australia,50% Dark Bites,02/06/2023,5091.78,219,High
Andria Kimpton,Australia,Drinking Coco,28/06/2023,1657.2,49,Low
Marney O'Breen,Australia,Organic Choco Syrup,16/05/2023,305.79,189,Low
Kelci Walkden,Canada,Baker's Choco Chips,26/05/2023,3377.41,325,Low
Karlen McCaffrey,India,Almond Choco,06/07/2023,6188.62,157,High
Oby Sorrel,India,99% Dark & Pure,27/05/2023,10914.36,11,High
Wilone O'Kielt,Australia,Caramel Stuffed Bars,14/04/2023,2342.07,12,Low
Van Tuxwell,Australia,Organic Choco Syrup,10/08/2023,21762.8,15,High
Camilla Castle,India,50% Dark Bites,04/07/2023,10539.54,398,High
Oby Sorrel,India,Organic Choco Syrup,08/07/2023,6665.87,60,High
Jan Morforth,USA,Peanut Butter Cubes,22/07/2023,9605.11,98,High
Gigi Bohling,USA,Choco Coated Almonds,02/03/2023,13018.0,103,High
Gigi Bohling,UK,Almond Choco,10/01/2023,6046.4,10,High
Jehu Rudeforth,New Zealand,White Choc,11/03/2023,3078.33,231,Low
Andria Kimpton,New Zealand,Peanut Butter Cubes,20/06/2023,970.96,291,Low
Van Tuxwell,UK,Organic Choco Syrup,26/08/2023,2064.71,208,Low
Roddy Speechley,Canada,Milk Bars,13/07/2023,679.94,34,Low
Camilla Castle,USA,Spicy Special Slims,11/02/2023,1311.25,251,Low
Marney O'Breen,USA,Orange Choco,27/01/2023,8692.64,184,High
Van Tuxwell,UK,99% Dark & Pure,31/01/2023,4993.21,145,Low
Camilla Castle,USA,White Choc,18/08/2023,10898.19,24,High
Andria Kimpton,USA,Raspberry Choco,30/06/2023,15565.91,21,High
Dotty Strutley,Australia,Fruit & Nut Bars,23/08/2023,280.59,328,Low
Brien Boise,New Zealand,Mint Chip Choco,01/08/2023,66.35,197,Low
Roddy Speechley,New Zealand,After Nines,25/05/2023,8766.45,10,High
Roddy Speechley,Canada,Organic Choco Syrup,10/01/2023,4265.48,85,Low
Dennison Crosswaite,Australia,70% Dark Bites,07/02/2023,6087.53,113,High
Karlen McCaffrey,USA,Orange Choco,12/05/2023,11694.48,425,High
Madelene Upcott,Australia,Spicy Special Slims,07/03/2023,7616.38,392,High
Dennison Crosswaite,Australia,85% Dark Bars,05/04/2023,7807.02,419,High
Andria Kimpton,Canada,Caramel Stuffed Bars,03/01/2023,7990.91,343,High
Dennison Crosswaite,UK,Eclairs,24/03/2023,6757.17,276,High
Madelene Upcott,India,Raspberry Choco,07/07/2023,4409.21,10,Low
Van Tuxwell,USA,After Nines,26/07/2023,722.25,255,Low
Wilone O'Kielt,Australia,Organic Choco Syrup,07/07/2023,1896.24,115,Low
Karlen McCaffrey,Canada,50% Dark Bites,15/07/2023,2966.83,65,Low
Roddy Speechley,New Zealand,Orange Choco,01/04/2023,51.29,100,Low
Beverie Moffet,Australia,Eclairs,20/06/2023,1835.42,6,Low
Kelci Walkden,UK,Fruit & Nut Bars,29/06/2023,14592.11,509,High
Marney O'Breen,USA,50% Dark Bites,15/06/2023,1114.13,106,Low
Husein Augar,USA,After Nines,08/04/2023,13051.75,193,High
Dennison Crosswaite,Australia,Raspberry Choco,14/03/2023,5997.71,31,High
Andria Kimpton,USA,Fruit & Nut Bars,15/07/2023,1588.28,352,Low
Kelci Walkden,India,Eclairs,19/04/2023,5344.21,80,High
Marney O'Breen,USA,99% Dark & Pure,28/03/2023,4646.91,317,Low
Brien Boise,Canada,Spicy Special Slims,04/03/2023,8929.88,100,High
Karlen McCaffrey,New Zealand,70% Dark Bites,02/08/2023,141.23,38,Low
Husein Augar,UK,Spicy Special Slims,25/08/2023,5068.99,45,High
Marney O'Breen,USA,Almond Choco,25/02/2023,8012.72,163,High
Kelci Walkden,India,Orange Choco,07/06/2023,10587.71,134,High
Jan Morforth,India,Spicy Special Slims,12/04/2023,2155.62,495,Low
Ches Bonnell,India,Spicy Special Slims,06/07/2023,11010.43,103,High
Kelci Walkden,UK,Smooth Sliky Salty,19/01/2023,6787.72,192,High
Madelene Upcott,Australia,Fruit & Nut Bars,05/01/2023,5715.07,90,High
Madelene Upcott,Canada,70% Dark Bites,24/01/2023,12100.65,142,High
Wilone O'Kielt,Australia,Drinking Coco,06/04/2023,623.75,285,Low
Gunar Cockshoot,Australia,Fruit & Nut Bars,15/06/2023,6528.42,22,High
Gigi Bohling,Canada,Baker's Choco Chips,28/01/2023,1540.55,47,Low
Kelci Walkden,India,Caramel Stuffed Bars,16/03/2023,487.06,123,Low
Rafaelita Blaksland,Australia,Drinking Coco,21/02/2023,11630.38,431,High
Kelci Walkden,USA,Manuka Honey Choco,16/02/2023,17297.66,96,High
Jehu Rudeforth,Canada,Spicy Special Slims,13/01/2023,2043.55,28,Low
Kelci Walkden,Australia,Eclairs,23/03/2023,8168.86,570,High
Curtice Advani,Canada,Spicy Special Slims,16/06/2023,933.45,122,Low
Oby Sorrel,India,Raspberry Choco,14/04/2023,6826.32,44,High
Kelci Walkden,UK,Eclairs,25/01/2023,5029.35,61,High
